15890366051589533-APPLE.mp4,15890366051589533-APPLE.npy
62432102043786-KNIGHT.mp4,62432102043786-KNIGHT.npy
3140572918045199-ALL OF_SUDDEN.mp4,3140572918045199-ALL OF_SUDDEN.npy
26442801372084057-TOTAL.mp4,26442801372084057-TOTAL.npy
613903843341741-COOL 3.mp4,613903843341741-COOL 3.npy
19185527558933835-LONG AGO.mp4,19185527558933835-LONG AGO.npy
6459252267958286-BECOME.mp4,6459252267958286-BECOME.npy
047964805851413495-IMPROVE.mp4,047964805851413495-IMPROVE.npy
5908448341148838-UNCERTAIN.mp4,5908448341148838-UNCERTAIN.npy
9778046529233306-GREET.mp4,9778046529233306-GREET.npy
3909940550052129-PROPOSE.mp4,3909940550052129-PROPOSE.npy
19744460835584432-TOSS OUT.mp4,19744460835584432-TOSS OUT.npy
5406966366518051-SQUARE.mp4,5406966366518051-SQUARE.npy
8884945458417148-PACK.mp4,8884945458417148-PACK.npy
7535449770372906-THANK YOU.mp4,7535449770372906-THANK YOU.npy
6169165591640462-EACH OTHER.mp4,6169165591640462-EACH OTHER.npy
8331521549475343-PRECIOUS.mp4,8331521549475343-PRECIOUS.npy
4685262003433257-WILL GO.mp4,4685262003433257-WILL GO.npy
26779769878453363-LAY DOWN.mp4,26779769878453363-LAY DOWN.npy
9119750137106359-PARANOID.mp4,9119750137106359-PARANOID.npy
2063128811266226-ALASKA.mp4,2063128811266226-ALASKA.npy
39878139372685606-EXPERIMENT.mp4,39878139372685606-EXPERIMENT.npy
5819018923811163-ARTICLE.mp4,5819018923811163-ARTICLE.npy
030163845009707257-EVERY NIGHT.mp4,030163845009707257-EVERY NIGHT.npy
8019317290688388-GET TOGETHER.mp4,8019317290688388-GET TOGETHER.npy
4883233656549113-STORY 3.mp4,4883233656549113-STORY 3.npy
09913910553280747-REMOVE.mp4,09913910553280747-REMOVE.npy
7735436577579549-MOSQUITO.mp4,7735436577579549-MOSQUITO.npy
23935932871880738-BETWEEN.mp4,23935932871880738-BETWEEN.npy
30802284724627316-TOY 3.mp4,30802284724627316-TOY 3.npy
7742371822103638-SPICY.mp4,7742371822103638-SPICY.npy
6555062872975101-JEWELRY.mp4,6555062872975101-JEWELRY.npy
02362800594599035-BULLSHIT.mp4,02362800594599035-BULLSHIT.npy
4158330922555107-ADVANTAGE.mp4,4158330922555107-ADVANTAGE.npy
9326067198560057-WHISPER.mp4,9326067198560057-WHISPER.npy
6468451269888666-SIGN PAPER.mp4,6468451269888666-SIGN PAPER.npy
26831740738029275-THERAPY.mp4,26831740738029275-THERAPY.npy
6738805591563901-LEAVE ALONE.mp4,6738805591563901-LEAVE ALONE.npy
4709219515950245-COMMUNITY.mp4,4709219515950245-COMMUNITY.npy
3794908792089089-CLIENT.mp4,3794908792089089-CLIENT.npy
13959766874483237-BREAKFAST.mp4,13959766874483237-BREAKFAST.npy
5666202221838486-TURN.mp4,5666202221838486-TURN.npy
45348925603024304-CORNER.mp4,45348925603024304-CORNER.npy
23509015263340394-CASTLE 2.mp4,23509015263340394-CASTLE 2.npy
5224289762112848-LEND.mp4,5224289762112848-LEND.npy
026708400894418727-SOPHOMORE.mp4,026708400894418727-SOPHOMORE.npy
28041608305216026-SUPERVISOR.mp4,28041608305216026-SUPERVISOR.npy
6928326961533751-INSTITUTE.mp4,6928326961533751-INSTITUTE.npy
6619748121410192-PERCEIVE.mp4,6619748121410192-PERCEIVE.npy
5395352613912254-CELEBRATE.mp4,5395352613912254-CELEBRATE.npy
11167211155706291-WIDE.mp4,11167211155706291-WIDE.npy
30070654019768583-PEEL 2.mp4,30070654019768583-PEEL 2.npy
11432147423106453-DOG.mp4,11432147423106453-DOG.npy
9184146468779903-BOWLING 2.mp4,9184146468779903-BOWLING 2.npy
7381855460513327-RIDE 2.mp4,7381855460513327-RIDE 2.npy
6336093498495587-THEORY.mp4,6336093498495587-THEORY.npy
6956016227207786-SHORT WORD.mp4,6956016227207786-SHORT WORD.npy
4168307048484854-LABEL.mp4,4168307048484854-LABEL.npy
04939380671476301-FIRED.mp4,04939380671476301-FIRED.npy
0525121513125173-DARK.mp4,0525121513125173-DARK.npy
41738678001523555-DEVOUR.mp4,41738678001523555-DEVOUR.npy
8143823054520445-HATCH 2.mp4,8143823054520445-HATCH 2.npy
784442858510149-PILLOW 2.mp4,784442858510149-PILLOW 2.npy
3665083076635902-CELLPHONE.mp4,3665083076635902-CELLPHONE.npy
08028498244023075-FLASHLIGHT 3.mp4,08028498244023075-FLASHLIGHT 3.npy
569252532013591-LIGHT 2.mp4,569252532013591-LIGHT 2.npy
8674978531375388-SHIRT 2.mp4,8674978531375388-SHIRT 2.npy
9984110117309302-BUMPY.mp4,9984110117309302-BUMPY.npy
3611339319587963-SLIP 2.mp4,3611339319587963-SLIP 2.npy
7913552139341871-SNEEZE 2.mp4,7913552139341871-SNEEZE 2.npy
5390411629840837-CLOCK 2.mp4,5390411629840837-CLOCK 2.npy
3635703251583551-GLASS 3.mp4,3635703251583551-GLASS 3.npy
02417596973931868-FRISK.mp4,02417596973931868-FRISK.npy
7800294564666657-SUMMON.mp4,7800294564666657-SUMMON.npy
22066071141437238-BANANA 2.mp4,22066071141437238-BANANA 2.npy
1455478001735404-CHERRY 2.mp4,1455478001735404-CHERRY 2.npy
4458090401198842-ELEVATOR 3.mp4,4458090401198842-ELEVATOR 3.npy
21072859884997563-STACK 2.mp4,21072859884997563-STACK 2.npy
461256999845691-ENVELOPE 5.mp4,461256999845691-ENVELOPE 5.npy
36182318013198267-BURY 2.mp4,36182318013198267-BURY 2.npy
9072202582847813-ARREST 3.mp4,9072202582847813-ARREST 3.npy
3965534717514636-KNITTING 3.mp4,3965534717514636-KNITTING 3.npy
11938517772299284-SMILE 2.mp4,11938517772299284-SMILE 2.npy
28165779316856177-STACK 3.mp4,28165779316856177-STACK 3.npy
3414971948885017-SCREWDRIVER 2.mp4,3414971948885017-SCREWDRIVER 2.npy
7866479770462362-CLOUD 4.mp4,7866479770462362-CLOUD 4.npy
3719623393652336-CARROT 3.mp4,3719623393652336-CARROT 3.npy
736053532553147-CRACKER 2.mp4,736053532553147-CRACKER 2.npy
940072121680658-VAMPIRE.mp4,940072121680658-VAMPIRE.npy
6440471350161254-POP 4.mp4,6440471350161254-POP 4.npy
07995519195035183-CROSS.mp4,07995519195035183-CROSS.npy
161397688937315-RAZOR 2.mp4,161397688937315-RAZOR 2.npy
5685505516650793-CHERRY.mp4,5685505516650793-CHERRY.npy
46721838510936897-JACKET.mp4,46721838510936897-JACKET.npy
638988979683649-RABBIT.mp4,638988979683649-RABBIT.npy
9665726169641298-SNOW 2.mp4,9665726169641298-SNOW 2.npy
4777114214367413-BENEFIT.mp4,4777114214367413-BENEFIT.npy
7364724475858522-EYES.mp4,7364724475858522-EYES.npy
24946258334528815-GUESS.mp4,24946258334528815-GUESS.npy
2889534487412355-DEMAND.mp4,2889534487412355-DEMAND.npy
5149945846466999-CHURCH.mp4,5149945846466999-CHURCH.npy
3705689605906124-COMPUTER MOUSE.mp4,3705689605906124-COMPUTER MOUSE.npy
8848744369087989-NEED.mp4,8848744369087989-NEED.npy
6866053008104511-PINEAPPLE.mp4,6866053008104511-PINEAPPLE.npy
5187624262174839-BONE.mp4,5187624262174839-BONE.npy
7561528652261482-CHILDREN.mp4,7561528652261482-CHILDREN.npy
9249941273755868-FRUIT.mp4,9249941273755868-FRUIT.npy
7882860253360209-ORDER 2.mp4,7882860253360209-ORDER 2.npy
17735124828998106-PROBLEM 1.mp4,17735124828998106-PROBLEM 1.npy
24975725380114233-WOOD.mp4,24975725380114233-WOOD.npy
9141133089170674-DROP.mp4,9141133089170674-DROP.npy
16759358676302494-GAME.mp4,16759358676302494-GAME.npy
0955181553369353-FOREIGNER.mp4,0955181553369353-FOREIGNER.npy
6248518251977921-APPOINTMENT.mp4,6248518251977921-APPOINTMENT.npy
4614534315577101-NOW.mp4,4614534315577101-NOW.npy
9397014726055648-SCROLL DOWN.mp4,9397014726055648-SCROLL DOWN.npy
6435134382056891-EGO.mp4,6435134382056891-EGO.npy
051465824178710706-TELL.mp4,051465824178710706-TELL.npy
1780082548619053-SOUTH.mp4,1780082548619053-SOUTH.npy
6904994586261741-GOSSIP.mp4,6904994586261741-GOSSIP.npy
7815897175027569-YESTERDAY.mp4,7815897175027569-YESTERDAY.npy
6225262610729481-BALANCE.mp4,6225262610729481-BALANCE.npy
09797934187757074-CALL.mp4,09797934187757074-CALL.npy
8994479452363924-AGREEMENT.mp4,8994479452363924-AGREEMENT.npy
6871058555020562-DIRTY.mp4,6871058555020562-DIRTY.npy
5082858473744953-NO.mp4,5082858473744953-NO.npy
8861231668594451-CANOE.mp4,8861231668594451-CANOE.npy
7596782937972923-TEST.mp4,7596782937972923-TEST.npy
8006343369425069-TEETH.mp4,8006343369425069-TEETH.npy
5410039699158458-KID.mp4,5410039699158458-KID.npy
33093247095464684-GIRL.mp4,33093247095464684-GIRL.npy
10857326791414024-BOAT.mp4,10857326791414024-BOAT.npy
16884356585373195-EASY.mp4,16884356585373195-EASY.npy
3380520143388104-SCHOOL.mp4,3380520143388104-SCHOOL.npy
142382602529187-IDEA.mp4,142382602529187-IDEA.npy
14947715658058014-THERMOMETER.mp4,14947715658058014-THERMOMETER.npy
23295455480851857-LET KNOW.mp4,23295455480851857-LET KNOW.npy
11867852244398991-PREACHER.mp4,11867852244398991-PREACHER.npy
09480001149764816-MEET.mp4,09480001149764816-MEET.npy
5882028078956663-ZIPPER.mp4,5882028078956663-ZIPPER.npy
5739657937248839-MATCH.mp4,5739657937248839-MATCH.npy
7886729880176198-FAUCET.mp4,7886729880176198-FAUCET.npy
727797349899711-FORFEIT.mp4,727797349899711-FORFEIT.npy
36626645710568106-NEWSPAPER.mp4,36626645710568106-NEWSPAPER.npy
6989402826625473-GOD.mp4,6989402826625473-GOD.npy
3844148444722406-FULL.mp4,3844148444722406-FULL.npy
3845231217942484-FRIEND.mp4,3845231217942484-FRIEND.npy
5307030948600251-WIFE.mp4,5307030948600251-WIFE.npy
24974615015650947-CRAZY.mp4,24974615015650947-CRAZY.npy
5677482375653258-DRAW.mp4,5677482375653258-DRAW.npy
27759670594914465-CAR.mp4,27759670594914465-CAR.npy
45594209879187875-FRANCE.mp4,45594209879187875-FRANCE.npy
182409169478295-AMAZING.mp4,182409169478295-AMAZING.npy
061936510841636094-BEAT.mp4,061936510841636094-BEAT.npy
3534400142419516-TOOTHBRUSH.mp4,3534400142419516-TOOTHBRUSH.npy
8306237547328505-EXCUSE.mp4,8306237547328505-EXCUSE.npy
16968758786823446-REVENGE.mp4,16968758786823446-REVENGE.npy
6833661881907038-DOWNSIZE.mp4,6833661881907038-DOWNSIZE.npy
4465135859623439-LESSON.mp4,4465135859623439-LESSON.npy
18037166509849722-SARCASTIC.mp4,18037166509849722-SARCASTIC.npy
5342879318630827-YUCKY.mp4,5342879318630827-YUCKY.npy
45107006465931687-PLUG.mp4,45107006465931687-PLUG.npy
45360553116056135-NUT.mp4,45360553116056135-NUT.npy
20127670054735236-AVOID.mp4,20127670054735236-AVOID.npy
14857041755268563-FED UP.mp4,14857041755268563-FED UP.npy
9404479880375034-BYE.mp4,9404479880375034-BYE.npy
008334911275535983-END.mp4,008334911275535983-END.npy
599008798019109-GERMANY.mp4,599008798019109-GERMANY.npy
835941664310544-LET ME_SEE.mp4,835941664310544-LET ME_SEE.npy
25349602618374245-NIECE.mp4,25349602618374245-NIECE.npy
8335625687320589-BUT.mp4,8335625687320589-BUT.npy
17556925442961546-BUDGET.mp4,17556925442961546-BUDGET.npy
0019458289228719838-SEQUENCE.mp4,0019458289228719838-SEQUENCE.npy
42899833130683573-ROCKET 1.mp4,42899833130683573-ROCKET 1.npy
45974359533467624-WASH 1.mp4,45974359533467624-WASH 1.npy
7360418673995492-SPONTANEOUS.mp4,7360418673995492-SPONTANEOUS.npy
9246436366130377-FACE.mp4,9246436366130377-FACE.npy
2863257536366659-TICKET.mp4,2863257536366659-TICKET.npy
5208380221303042-MOST.mp4,5208380221303042-MOST.npy
6207041749303615-FREEDOM.mp4,6207041749303615-FREEDOM.npy
6776054154751192-CUT 1.mp4,6776054154751192-CUT 1.npy
2111386793579384-BUSY.mp4,2111386793579384-BUSY.npy
531241969487003-LOLLIPOP.mp4,531241969487003-LOLLIPOP.npy
7094121960088806-DEPRESS.mp4,7094121960088806-DEPRESS.npy
6371396620489889-FLOAT.mp4,6371396620489889-FLOAT.npy
26689261591142355-PROOF.mp4,26689261591142355-PROOF.npy
7581793606805043-DISRUPT.mp4,7581793606805043-DISRUPT.npy
22148353752737537-CAMERAMAN.mp4,22148353752737537-CAMERAMAN.npy
48605335562768315-DRIVE.mp4,48605335562768315-DRIVE.npy
4599940680744705-BEANS.mp4,4599940680744705-BEANS.npy
1434349775005772-PIZZA 2.mp4,1434349775005772-PIZZA 2.npy
4716209539695517-SHARE.mp4,4716209539695517-SHARE.npy
8750056311438137-SLAVE.mp4,8750056311438137-SLAVE.npy
9539744052316363-INTUITIVE.mp4,9539744052316363-INTUITIVE.npy
15583842324081232-ON.mp4,15583842324081232-ON.npy
01575906812099359-TRUTH.mp4,01575906812099359-TRUTH.npy
22151283011808554-VANILLA.mp4,22151283011808554-VANILLA.npy
9151460001087668-COST.mp4,9151460001087668-COST.npy
5700407311251623-ROOF.mp4,5700407311251623-ROOF.npy
05089872608413626-SNEAK ADVENTURE.mp4,05089872608413626-SNEAK ADVENTURE.npy
3570222124406002-LOUSY.mp4,3570222124406002-LOUSY.npy
8441043604725313-FUNNY.mp4,8441043604725313-FUNNY.npy
752385671850688-SKIN.mp4,752385671850688-SKIN.npy
8642316172083411-LOOK FORWARD.mp4,8642316172083411-LOOK FORWARD.npy
4001283150525985-SWIM.mp4,4001283150525985-SWIM.npy
3180685106985577-GOAL.mp4,3180685106985577-GOAL.npy
8911976032426165-OUTSIDE.mp4,8911976032426165-OUTSIDE.npy
7599782059880507-ORANGE THROAT.mp4,7599782059880507-ORANGE THROAT.npy
29515855219404497-ORANGE EYES.mp4,29515855219404497-ORANGE EYES.npy
08105598822367299-ANSWER.mp4,08105598822367299-ANSWER.npy
20852329611395937-DISCUSS.mp4,20852329611395937-DISCUSS.npy
17128261239352982-ROBOT.mp4,17128261239352982-ROBOT.npy
9337064031272435-MELT.mp4,9337064031272435-MELT.npy
6911483999978041-SUCK.mp4,6911483999978041-SUCK.npy
8115249297063862-ROUGH.mp4,8115249297063862-ROUGH.npy
3950711714142374-PET.mp4,3950711714142374-PET.npy
23321177794879588-SIGNATURE.mp4,23321177794879588-SIGNATURE.npy
6735558330423335-GRAY.mp4,6735558330423335-GRAY.npy
9058683859887124-HEAVY.mp4,9058683859887124-HEAVY.npy
05804557658914389-HURDLE-TRIP.mp4,05804557658914389-HURDLE-TRIP.npy
3655968983833715-CLIMB LADDER.mp4,3655968983833715-CLIMB LADDER.npy
46079903240496867-SNAP.mp4,46079903240496867-SNAP.npy
30769191586183053-ISOLATED.mp4,30769191586183053-ISOLATED.npy
3034247461648141-MAILMAN.mp4,3034247461648141-MAILMAN.npy
9815871847220503-BET.mp4,9815871847220503-BET.npy
542387932769369-DISTRACTED.mp4,542387932769369-DISTRACTED.npy
883239213455199-FREEZE.mp4,883239213455199-FREEZE.npy
119693515616218-WILL.mp4,119693515616218-WILL.npy
22816862341146416-MEMBER.mp4,22816862341146416-MEMBER.npy
15987152242950264-BEST.mp4,15987152242950264-BEST.npy
9105274408150312-BAT 1.mp4,9105274408150312-BAT 1.npy
7886073087627623-MURDER.mp4,7886073087627623-MURDER.npy
48852938778695965-LIKE.mp4,48852938778695965-LIKE.npy
014399429252126783-OVER.mp4,014399429252126783-OVER.npy
11714827881944534-DYE.mp4,11714827881944534-DYE.npy
2157720030733732-DRY.mp4,2157720030733732-DRY.npy
746884857630183-DICTIONARY.mp4,746884857630183-DICTIONARY.npy
07434472987201102-TAN.mp4,07434472987201102-TAN.npy
2595760307657029-THEY.mp4,2595760307657029-THEY.npy
11734442383790955-THUNDER.mp4,11734442383790955-THUNDER.npy
9079150432920042-RED FACED.mp4,9079150432920042-RED FACED.npy
3874900668022614-FAN.mp4,3874900668022614-FAN.npy
9057593060657476-Q TIP.mp4,9057593060657476-Q TIP.npy
754174081917842-SCAR MEMORY.mp4,754174081917842-SCAR MEMORY.npy
1847737055607681-LIMITED.mp4,1847737055607681-LIMITED.npy
8853802136949456-SIGNING FLUENTLY.mp4,8853802136949456-SIGNING FLUENTLY.npy
37474758827881094-STARE.mp4,37474758827881094-STARE.npy
582323650762931-THOUGHT DISAPPEAR.mp4,582323650762931-THOUGHT DISAPPEAR.npy
574135060517232-EVERYTHING.mp4,574135060517232-EVERYTHING.npy
999123603635413-SO.mp4,999123603635413-SO.npy
4501768861955957-STADIUM.mp4,4501768861955957-STADIUM.npy
2801327557552975-THINK PENETRATE.mp4,2801327557552975-THINK PENETRATE.npy
14052296225070893-BACKPACK.mp4,14052296225070893-BACKPACK.npy
9067099373014491-CHOKE.mp4,9067099373014491-CHOKE.npy
8911814027727771-GREEN BEANS.mp4,8911814027727771-GREEN BEANS.npy
7838187946810775-TOGETHER.mp4,7838187946810775-TOGETHER.npy
27059643717991366-VAIN.mp4,27059643717991366-VAIN.npy
8110284429664787-COMPASS.mp4,8110284429664787-COMPASS.npy
9784190419934637-NERVE.mp4,9784190419934637-NERVE.npy
09223742662600642-BOW 2.mp4,09223742662600642-BOW 2.npy
5890286627161592-FRAME.mp4,5890286627161592-FRAME.npy
7170327719525225-INSPIRE.mp4,7170327719525225-INSPIRE.npy
9658452924914089-FOLLOW 1.mp4,9658452924914089-FOLLOW 1.npy
7372492030486306-CLAW.mp4,7372492030486306-CLAW.npy
03115270349603283-HAHA.mp4,03115270349603283-HAHA.npy
8388789916018351-GOATEE.mp4,8388789916018351-GOATEE.npy
07267045149513152-IF.mp4,07267045149513152-IF.npy
5459254713530837-STAMP 1.mp4,5459254713530837-STAMP 1.npy
3227427763344013-SPREAD 1.mp4,3227427763344013-SPREAD 1.npy
6710147339257997-STRAW.mp4,6710147339257997-STRAW.npy
16831173387324583-STRONG.mp4,16831173387324583-STRONG.npy
7431245791553516-PUT ASIDE.mp4,7431245791553516-PUT ASIDE.npy
16187292252747598-WISE.mp4,16187292252747598-WISE.npy
8255311360124704-TEMPORARY.mp4,8255311360124704-TEMPORARY.npy
6904871228501732-FAINT.mp4,6904871228501732-FAINT.npy
902671562034884-EVIDENCE.mp4,902671562034884-EVIDENCE.npy
